"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"cisplatin","PIM-1 4a","alkylating agent (platinum)","PIM",39,7.62486864115519,21,36
"ABT263","Wnti","Bcl-2, Bcl-x, Bcl-xl","bCatenin",28,3.84429899923404,4,3
"Wnti","JZL184","bCatenin","MAGL",28,3.84429899923404,3,33
"fingolimod","OSU03012","Sphingosine-1-phosphate receptor agonist","PDK1",27,2.5761130248407,1,9
"Wnti","BID1870","bCatenin","RSK (RSK1/2/3/5/, PLK1, ARKB)",25,3.31896056638852,3,45
"fingolimod","KU0063794","Sphingosine-1-phosphate receptor agonist","mTOR kinase",25,2.26674816102706,1,83
"vincristine","Darinaparsin","microtubule agent (vinca alkyloid)","arsenic",25,3.4058379440014,5,60
"Bortezomib","C75","proteasome","Fatty Acid Synthase",24,3.27778278970136,2,47
"fingolimod","JNK5a","Sphingosine-1-phosphate receptor agonist","JNK",24,2.11206572912023,1,86
"fingolimod","vatalanib/PTK787","Sphingosine-1-phosphate receptor agonist","VEFGR (1-4), c-kit, PDGFb",24,2.11206572912023,1,22
"lapatinib","YM155","EGFR, HER2, ErbB4","survivin/BIRC5",23,4.96436964543534,13,7
"ABT263","Bortezomib","Bcl-2, Bcl-x, Bcl-xl","proteasome",22,2.87534703697842,4,2
"ABT263","CHIR265","Bcl-2, Bcl-x, Bcl-xl","Raf, VEGFR",22,3.19766502996968,4,14
"FK866","fingolimod","NAMPRT","Sphingosine-1-phosphate receptor agonist",22,1.80270086530659,12,1
"SNS-032","Dorsomorphin","CDK2/7/9","AMPK/BMP antagonist",22,6.08215847524519,38,39
"fingolimod","Indole-3-carbinol","Sphingosine-1-phosphate receptor agonist","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",22,1.80270086530659,1,89
"vincristine","vatalanib/PTK787","microtubule agent (vinca alkyloid)","VEFGR (1-4), c-kit, PDGFb",22,2.90086150980996,5,22
"XL147","STA4783","PI3K","HSP70 inducer",21,4.65902382931557,61,6
"fingolimod","AZD7762","Sphingosine-1-phosphate receptor agonist","Chk1/2",21,1.64801843339977,1,27
"Bortezomib","KU55933","proteasome","ATM",20,2.47291128425547,2,46
"Bortezomib","temozolomide","proteasome","alkylating agent (tetrazine)",20,2.47291128425547,2,75
"MK1775","AZD7762","Wee-1","Chk1/2",20,5.27450398672903,37,27
"bivanib/BI2536","PD173074","Plk1","FGFR1/3",20,4.60575635318049,8,91
"fingolimod","AS252424","Sphingosine-1-phosphate receptor agonist","PI3K (gamma)",20,1.49333600149295,1,62
"fingolimod","sorafenib","Sphingosine-1-phosphate receptor agonist","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",20,1.49333600149295,1,26
"ABT263","Docetaxel","Bcl-2, Bcl-x, Bcl-xl","microtubule agent (taxane)",19,2.62773139608836,4,10
"Wnti","Embelin","bCatenin","XIAP",19,2.26828370069748,3,25
"fingolimod","Darinaparsin","Sphingosine-1-phosphate receptor agonist","arsenic",19,1.33865356958613,1,60
"fingolimod","lapatinib","Sphingosine-1-phosphate receptor agonist","EGFR, HER2, ErbB4",19,1.33865356958613,1,13
"ABT263","YM155","Bcl-2, Bcl-x, Bcl-xl","survivin/BIRC5",18,2.43775351812792,4,7
"Enzastaurin","Bortezomib","PKCbeta","proteasome",18,2.07047553153253,31,2
"Perifosine","PF04217903","Akt/PI3K","MET",18,4.78616302281023,24,87
"VX702","fingolimod","p38","Sphingosine-1-phosphate receptor agonist",18,1.18397113767931,74,1
"Wnti","KU55933","bCatenin","ATM",18,2.09317088974897,3,46
"Wnti","LSN415169","bCatenin","gamma secretase",18,2.09317088974897,3,84
"Wnti","PIM-1 4a","bCatenin","PIM",18,2.09317088974897,3,36
