"Drug1","Drug2","n.syn","Drug1.target","Drug2.target","syn.mean1","syn.sd1","syn.mean2","syn.sd2","n.syn.score"
"cisplatin","PIM-1 4a",39,"alkylating agent (platinum)","PIM",2,4.85254261303502,1.58878504672897,4.36528602669615,7.62486864115519
"ABT263","Wnti",28,"Bcl-2, Bcl-x, Bcl-xl","bCatenin",5.16822429906542,5.26377076497414,6.04672897196262,5.71060446453605,3.84429899923404
"Wnti","JZL184",28,"bCatenin","MAGL",6.04672897196262,5.71060446453605,1.64485981308411,3.72460542787686,3.84429899923404
"fingolimod","OSU03012",27,"Sphingosine-1-phosphate receptor agonist","PDK1",10.3457943925234,6.46485827558226,3.27102803738318,3.92276878886643,2.5761130248407
"Wnti","BID1870",25,"bCatenin","RSK (RSK1/2/3/5/, PLK1, ARKB)",6.04672897196262,5.71060446453605,1.4392523364486,3.22191074824985,3.31896056638852
"fingolimod","KU0063794",25,"Sphingosine-1-phosphate receptor agonist","mTOR kinase",10.3457943925234,6.46485827558226,1.00934579439252,2.60078118562954,2.26674816102706
"vincristine","Darinaparsin",25,"microtubule agent (vinca alkyloid)","arsenic",4.76635514018692,5.94087128997139,1.22429906542056,3.21936478914166,3.4058379440014
"Bortezomib","C75",24,"proteasome","Fatty Acid Synthase",7.71028037383178,4.96973737166165,1.42990654205607,3.07488962689692,3.27778278970136
"fingolimod","JNK5a",24,"Sphingosine-1-phosphate receptor agonist","JNK",10.3457943925234,6.46485827558226,0.990654205607477,2.66173204746566,2.11206572912023
"fingolimod","vatalanib/PTK787",24,"Sphingosine-1-phosphate receptor agonist","VEFGR (1-4), c-kit, PDGFb",10.3457943925234,6.46485827558226,1.93457943925234,3.94841986077111,2.11206572912023
"lapatinib","YM155",23,"EGFR, HER2, ErbB4","survivin/BIRC5",2.58878504672897,4.11154213144438,3.57009345794393,3.67580603285636,4.96436964543534
"ABT263","Bortezomib",22,"Bcl-2, Bcl-x, Bcl-xl","proteasome",5.16822429906542,5.26377076497414,7.71028037383178,4.96973737166165,2.87534703697842
"ABT263","CHIR265",22,"Bcl-2, Bcl-x, Bcl-xl","Raf, VEGFR",5.16822429906542,5.26377076497414,2.45794392523365,2.95334915043466,3.19766502996968
"FK866","fingolimod",22,"NAMPRT","Sphingosine-1-phosphate receptor agonist",2.82242990654206,3.24128172910024,10.3457943925234,6.46485827558226,1.80270086530659
