"short.name","plos.name","target.short","target.plos","good.name","stage","standard.dose.uM.","low.dose.uM","commercial.vendor"
"17-AAG","Tanespimycin/17-AAG","HSP90","HSP90","17-AAG/Tanespimycin","III",0.01,0.002,"LC Laboratories"
"ABT-263","ABT263","Bcl-2/Bcl-x/Bcl-xl","Bcl-2, Bcl-x, Bcl-xl","ABT-263","II",2,0.4,"TRC"
"ABT-888","Veliparib/ABT888","PARP","PARP","ABT-888/Veliparib","II",7,1.4,"ChemieTek"
"AZD6244","selumetinib/AZD6244","MEK","MEK","AZD6244/ARRY-142886/selumetinib","II",0.075,0.015,"ChemieTek"
"Bexarotene","Bexarotene","RXR","RXR","Bexarotene/LGD1069","approved",10,2,"LC Laboratories"
"BI 78D3","BI78D3","JNK","JNK","BI 78D3","tool",1,0.2,"Tocris"
"Bortezomib","Bortezomib","proteasome","proteasome","Bortezomib/MG-341","approved",0.005,0.001,"LC Laboratories"
"CHIR-265","CHIR265","Raf/VEGFR","Raf, VEGFR","CHIR-265/RAF265","I",0.4,0.08,"Selleck"
"cisplatin","cisplatin","alkylating agent (platinum)","alkylating agent (platinum)","cisplatin","approved",8,1.6,"TRC"
"CX-4945","CX4945","CK2a","CK2a","CX-4945","II",2,0.4,"SYN"
"Darinaparsin","Darinaparsin","arsenic","arsenic","Darinaparsin/ZIO-101","II",2,0.4,"Sigma"
"dasatanib","dasatanib","BCR-Abl/EAR/PDGFR/c-kit","Multi (BCR-Abl, EAR, PDGFR, c-kit)","dasatanib/BMS-354825","approved",0.02,0.004,"LC Laboratories"
"decitabine","decitabine","methyl transferase inhibitor","methyl transferase inhibitor","decitabine","approved",0.5,0.1,"TRC"
"Docetaxel","Docetaxel","microtubule agent (taxane)","microtubule agent (taxane)","Docetaxel","approved",5e-04,1e-04,"LC Laboratories"
"Dovitinib","Dovitinib/CHIR-258","c-Kit/FGFR/FLT3/FMS/PDGFR/VEGFR","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Dovitinib/CHIR-258","III",0.5,0.1,"LC Laboratories"
"ENMD-2076","ENMD2076","Aurora A/FLT3/c-KIT/FGFR1/FGFR3","Aurora A, FLT3, c-KIT, FGFR1/3","ENMD-2076/ENMD-981693","II",0.2,0.04,"Selleck"
"Enzastaurin","Enzastaurin","PKCbeta","PKCbeta","Enzastaurin/LY317615","III",4,0.8,"LC Laboratories"
"erlotinib","erlotinib","EGFR","EGFR","erlotinib/OSI-774","approved",4,0.8,"LC Laboratories"
"etoposide","etoposide","Topo II","topoisomerase inhibitors (Type II, podophyllotoxin)","etoposide","approved",0.1,0.02,"ChemieTek"
"everolimus","everolimus","mTor","mTor","everolimus/RAD001","approved",0.1,0.02,"LC Laboratories"
"FK866","FK866","NAMPRT","NAMPRT","FK866","II",0.05,0.01,"Axon"
"fludarabine","fludarabine","Antimetabolite (purine)","Antimetabolite (purine)","fludarabine","approved",1,0.2,"TRC"
"FTY720","fingolimod","Sphingosine-1-phosphate receptor agonist","Sphingosine-1-phosphate receptor agonist","FTY720/Fingolimod","approved",10,2,"LC Laboratories"
"GDC-0449","Vismodegib/GDC0449","Hh","Hh","GDC-0449/R-3616/RG-3616/CUR-691/Hh-Antag691/HhAntag/Vismodegib","approved",5,1,"Selleck"
"gemcitabine","gemcitabine","Antimetabolite (pyrimidine)","Antimetabolite (pyrimidine)","gemcitabine","approved",0.002,4e-04,"LC Laboratories"
"IMD-0354","IMD0354","IKK","IKK","IMD-0354","I",0.08,0.016,"Tocris"
"INCB-18424","ruxolitinib","JAK1/JAK2/Tyk2","JAK1/2, Tyk2","INCB-18424","approved",5,1,"ChemieTek"
"Indole-3-carbinol","Indole-3-carbinol","Ahr/IDO1","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Indole-3-carbinol","II",4,0.8,"Sigma"
